title,link,price,location,year,mileage,type,automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/19071360,266800,Hisings Backa ∙ Toyota Center Göteborg AB,2025,0,Hybrid bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/14274550,266900,Skärholmen ∙ Torvalla Bil AB Sätra-KIA,2023,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/15370689,268000,Åkersberga ∙ Team Autocar i Österåker AB,2025,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/14650187,268000,Åkersberga ∙ Team Autocar i Österåker AB,2025,0,Bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/15451235,268400,Skärholmen ∙ Torvalla bil Sätra AB - Mazda Suzuki,2025,0,Hybrid bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13470936,269500,Skärholmen ∙ J Bil Sätra,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13546680,269500,Västra Frölunda ∙ J BIL Frölunda,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13545315,269500,Handen ∙ J BIL Haninge,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13545154,269500,Vällingby ∙ J BIL Vällingby,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13539563,269500,Upplands Väsby ∙ J BIL Väsby,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13537942,269500,Täby ∙ J BIL Täby,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13537339,269500,Hisings Kärra ∙ J BIL Tagene,2025,0,Bensin,Automatisk
MG 3,https://www.blocket.se/mobility/item/20326060,269900,Hisings Kärra ∙ Hedin Automotive Tagene,2024,0,Hybrid bensin,Automatisk
MG 3,https://www.blocket.se/mobility/item/20133240,269900,Stockholm ∙ Hedin Automotive Akalla,2024,0,Hybrid bensin,Automatisk
MG 3,https://www.blocket.se/mobility/item/19192143,269900,Segeltorp ∙ Hedin Automotive MG Segeltorp,2024,0,Hybrid bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13470358,269900,Västra Frölunda ∙ J BIL Frölunda,2024,0,Bensin,Automatisk
MG 3,https://www.blocket.se/mobility/item/19898104,269990,Järfälla ∙ Hedin Automotive Stäket,2024,0,Hybrid bensin,Automatisk
Toyota Aygo X,https://www.blocket.se/mobility/item/20354353,271800,Södertälje ∙ Bilia Södertälje Toyota,2026,1,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/13483772,271800,Kungens Kurva ∙ Bilia Kungens Kurva Toyota,2024,1,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/17466721,271800,Saltsjö-Boo ∙ Bilia Saltsjö-Boo Begagnade bilar,2025,1,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/17466723,274800,Nacka ∙ Bilia Nacka Toyota,2025,1,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/17466727,274800,Saltsjö-Boo ∙ Bilia Saltsjö-Boo Begagnade bilar,2025,1,Hybrid bensin,Automatisk
Fiat Grande Panda E,https://www.blocket.se/mobility/item/20525532,274900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Hybrid bensin,Automatisk
Suzuki Vitara,https://www.blocket.se/mobility/item/19269732,274900,Bromma ∙ Bjurkell Bil Bromma,2025,0,Bensin,Automatisk
Suzuki Vitara,https://www.blocket.se/mobility/item/19269733,274900,Bromma ∙ Bjurkell Bil Bromma,2025,0,Bensin,Automatisk
Citroen C3 Aircross,https://www.blocket.se/mobility/item/15572455,275500,Malmö ∙ Hedbergs Bil AB,2026,0,Hybrid bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/19270863,275901,Hisings Kärra ∙ Hedin Automotive Tagene,2025,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/19434978,277000,Täby ∙ Din Bil / Skoda Täby - Nya bilar,2026,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/20111975,277000,Stockholm ∙ Din Bil / Skoda Sätra - Nya bilar,2026,0,Bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/19195616,278900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Hybrid bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/14863671,278900,Enskede ∙ Autopunkten AB,2025,0,Hybrid bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/17592832,279400,Göteborg ∙ KARMAUTO Göteborg,2025,0,Bensin,Automatisk
Hyundai Inster,https://www.blocket.se/mobility/item/18717626,279900,Österhaninge ∙ RA Motor Haninge,2025,1,El,370 km räckvidd
Hyundai Inster,https://www.blocket.se/mobility/item/20012352,279900,Österhaninge ∙ RA Motor Haninge,2025,1,El,370 km räckvidd
Hyundai Inster,https://www.blocket.se/mobility/item/19998198,279900,Österhaninge ∙ RA Motor Haninge,2025,1,El,370 km räckvidd
Peugeot 2008,https://www.blocket.se/mobility/item/20461086,279900,Norrtälje ∙ J BIL Norrtälje,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20461015,279900,Skärholmen ∙ J Bil Sätra,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460678,279900,Hisings Kärra ∙ J BIL Tagene,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460646,279900,Västra Frölunda ∙ J BIL Frölunda,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460577,279900,Handen ∙ J BIL Haninge,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460613,279900,Vällingby ∙ J BIL Vällingby,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460505,279900,Täby ∙ J BIL Täby,2026,0,Hybrid bensin,Automatisk
Peugeot 2008,https://www.blocket.se/mobility/item/20460418,279900,Upplands Väsby ∙ J BIL Väsby,2026,0,Hybrid bensin,Automatisk
Seat Arona,https://www.blocket.se/mobility/item/20154555,279900,Malmö ∙ Din Bil / CUPRA Malmö - Nya bilar,2026,0,Bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/19270562,279900,Malmö ∙ Hedin Automotive Malmö Jägersro,2025,0,Hybrid bensin,Automatisk
Hyundai i20,https://www.blocket.se/mobility/item/20296642,280900,Österhaninge ∙ RA Motor Haninge,2026,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/17534502,282400,Bromma ∙ Din Bil / Skoda Bromma - Nya bilar,2026,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/20277829,282500,Solna ∙ Bilia Haga Norra,2025,0,Bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/14933644,283800,Enskede ∙ Autopunkten AB,2025,0,Hybrid bensin,Automatisk
Volkswagen Taigo,https://www.blocket.se/mobility/item/20298781,284423,Gustavsberg ∙ Din Bil / Volkswagen Värmdö - Nya bilar,2026,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/17920223,284900,Handen ∙ J BIL Haninge,2025,0,Bensin,Automatisk
Fiat 600,https://www.blocket.se/mobility/item/17752572,284900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/13483783,287295,Kungens Kurva ∙ Bilia Kungens Kurva Toyota,2025,1,Hybrid bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/19798069,287900,Upplands Väsby ∙ Aftén Bil KIA Upplands Väsby Nybil,2026,0,Hybrid bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/14374276,288000,Åkersberga ∙ Team Autocar i Österåker AB,2025,0,Hybrid bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/14406358,288800,Enskede ∙ Autopunkten AB,2025,0,Hybrid bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/17443187,289000,Norrtälje ∙ Höglunds Bil AB,2025,1,Hybrid bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/17385864,289000,Norrtälje ∙ Höglunds Bil AB,2025,1,Hybrid bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/18566445,289400,Upplands Väsby ∙ J BIL Väsby,2025,0,Bensin,Automatisk
